s			t			RPM			rad/s^2			Nm
0.468		0.651		128.1		14.09		1.818
0.387		1.12 		155.2		15.64		2.018
0.323		1.51 		185.8		20.26		2.613
0.276		1.83 		217.6		20.94		2.702
0.249		2.11 		241  		18.74		2.418
0.229		2.35 		262.2		18.87		2.435
0.213		2.58 		282.2		18.51		2.388
0.200		2.8  		299.8		17.18		2.216
0.190		3    		315  		15.97		2.061
0.182		3.19 		328.8		16.33		2.107
0.175		3.37 		343.5		17.74		2.288
0.167		3.54 		358.4		18.53		2.39 
0.161		3.71 		373.1		18.82		2.427
0.155		3.87 		387.3		18.46		2.382
0.150		4.03 		400.4		17.21		2.22 
0.146		4.18 		411.9		16.77		2.163
0.142		4.32 		423.7		16.44		2.121
0.138		4.46 		434.2		16.16		2.084
0.135		4.6  		445.1		16.14		2.081
0.132		4.74 		454.9		17.95		2.316
0.128		4.87 		467.7		21.33		2.752
0.125		5    		481.1		23.52		3.034
0.121		5.12 		495.7		24.66		3.182
0.118		5.24 		509.6		26.68		3.442
0.114		5.36 		525.7		28.71		3.704
0.111		5.47 		540.9		27.46		3.542
0.108		5.59 		554.8		29.1 		3.754
0.105		5.69 		570.9		33.66		4.343
0.102		5.8  		588.6		38.54		4.972
0.099		5.9  		608.4		40.22		5.188
0.096		6    		626.4		42.12		5.433
0.093		6.09 		647  		46.29		5.972
0.090		6.19 		667.4		50.26		6.483
0.087		6.28 		690.1		52.67		6.795
0.084		6.36 		711.2		57.66		7.438
0.081		6.45 		736.6		60.28		7.777
0.079		6.53 		758.1		60.17		7.762
0.077		6.61 		782  		66.03		8.518
0.074		6.69 		806.4		69.13		8.918
0.072		6.76 		831.2		72.08		9.298
0.070		6.83 		856.1		77.67		10.02
0.068		6.9  		883.1		76.71		9.895
0.066		6.97 		905.9		79   		10.19
0.064		7.04 		933.1		82.38		10.63
0.063		7.1  		956.5		80.16		10.34
0.061		7.16 		981.1		82.41		10.63
0.060		7.23 		1005 		80.32		10.36
0.058		7.28 		1027 		82.74		10.67
0.057		7.34 		1051 		85.77		11.06
0.056		7.4  		1074 		78.38		10.11
0.055		7.46 		1093 		82.56		10.65
0.054		7.51 		1117 		88.14		11.37
0.053		7.56 		1138 		86.45		11.15
0.052		7.62 		1161 		85.91		11.08
0.051		7.67 		1180 		82.71		10.67
0.050		7.72 		1201 		88.22		11.38
0.049		7.77 		1222 		91.53		11.81
0.048		7.82 		1244 		96.86		12.49
0.047		7.87 		1267 		97.25		12.54
0.047		7.91 		1288 		82.46		10.64
0.046		7.96 		1304 		90.2 		11.64
0.045		8.01 		1327 		96.06		12.39
0.045		8.05 		1345 		89.04		11.49
0.044		8.1  		1365 		100.3		12.93
0.043		8.14 		1387 		108.1		13.94
0.043		8.18 		1410 		114.1		14.72
0.042		8.23 		1434 		112  		14.45
0.041		8.27 		1455 		99.88		12.88
0.041		8.31 		1473 		115.6		14.91
0.040		8.35 		1500 		122.6		15.82
0.039		8.39 		1520 		103  		13.29
0.039		8.43 		1538 		109  		14.06
0.038		8.47 		1560 		107.4		13.86
0.038		8.51 		1578 		111.3		14.36
0.037		8.55 		1601 		124.6		16.07
0.037		8.58 		1622 		139.6		18.01
0.036		8.62 		1650 		134  		17.28
0.036		8.66 		1669 		112.7		14.54
0.036		8.69 		1689 		139.1		17.95
0.035		8.73 		1716 		123.2		15.9 
0.035		8.76 		1730 		127.5		16.45
0.034		8.8  		1758 		145.5		18.76
0.034		8.83 		1777 		133  		17.15
0.033		8.87 		1801 		119.2		15.37
0.033		8.9  		1815 		125.7		16.22
0.033		8.93 		1841 		130.1		16.78
0.032		8.96 		1856 		147.7		19.06
0.032		9    		1886 		126.3		16.3 
0.032		9.03 		1894 		90.51		11.68
0.031		9.06 		1914 		190.3		24.55
0.031		9.09 		1951 		163.9		21.14
0.031		9.12 		1962 		99.66		12.86
0.030		9.15 		1980 		100.4		12.95
0.030		9.18 		1991 		135.5		17.47
0.030		9.21 		2019 		152.7		19.7 
0.029		9.24 		2034 		117.7		15.18
0.029		9.27 		2052 		129.2		16.67
0.029		9.3  		2070 		119.6		15.43
0.029		9.33 		2085 		131.5		16.96
0.028		9.36 		2107 		159.7		20.6 
0.028		9.39 		2129 		-6215		-801.7
0.138		9.42 		433.9		76.13		9.82 
0.027		9.55 		2229 		6996 		902.4
0.027		9.58 		2232 		116.4		15.02
0.027		9.61 		2259 		-8726		-1126
3.209		9.64 		18.7 		16.86		2.175
0.022		12.8 		2776 		1.351e+04		1742 
0.021		12.9 		2807 		-30.13		-3.886
0.022		12.9 		2770 		-83.26		-10.74
0.022		12.9 		2790 		51.86		6.69 
0.022		12.9 		2780 		-47.03		-6.067
0.022		13   		2780 		-1.875		-0.2419
0.022		13   		2780 		-45.46		-5.864
0.022		13   		2770 		-21.76		-2.807
0.022		13   		2775 		-1.859		-0.2398
0.022		13   		2770 		-103.5		-13.35
0.022		13.1 		2754 		7.381		0.9521
0.022		13.1 		2772 		137.1		17.69
0.022		13.1 		2782 		-83.41		-10.76
0.022		13.1 		2754 		-19.2		-2.477
0.022		13.1 		2778 		-12.25		-1.58
0.022		13.2 		2752 		-47.41		-6.116
0.022		13.2 		2768 		-34.67		-4.473
0.022		13.2 		2745 		-10.39		-1.341
0.022		13.2 		2766 		-11.51		-1.485
0.022		13.3 		2742 		-1.831		-0.2362
0.022		13.3 		2766 		48.58		6.267
0.022		13.3 		2752 		-70.67		-9.117
0.022		13.3 		2751 		12.14		1.566
0.022		13.3 		2755 		-4.245		-0.5475
0.022		13.4 		2750 		-61.04		-7.875
0.022		13.4 		2742 		12.68		1.636
0.022		13.4 		2753 		-52.18		-6.732
0.022		13.4 		2731 		-73.05		-9.424
0.022		13.5 		2738 		37.54		4.842
0.022		13.5 		2739 		19.14		2.469
0.022		13.5 		2742 		8.383		1.081
0.022		13.5 		2741 		-50.74		-6.546
0.022		13.5 		2731 		18.53		2.39 
0.022		13.6 		2745 		-71.07		-9.168
0.022		13.6 		2716 		-23.77		-3.066
0.022		13.6 		2740 		82.84		10.69
0.022		13.6 		2733 		-98.34		-12.69
0.022		13.6 		2719 		7.688		0.9917
0.022		13.7 		2735 		34.21		4.413
0.022		13.7 		2726 		-88.97		-11.48
0.022		13.7 		2716 		-28.72		-3.704
0.022		13.7 		2720 		20.47		2.641
0.022		13.8 		2721 		44.67		5.762
0.022		13.8 		2730 		-30.49		-3.934
0.022		13.8 		2714 		-88.81		-11.46
0.022		13.8 		2711 		-2.904		-0.3747
0.022		13.8 		2714 		5.804		0.7487
0.022		13.9 		2712 		-69.34		-8.945
0.022		13.9 		2699 		59.18		7.635
0.022		13.9 		2725 		37.06		4.781
0.022		13.9 		2707 		-79.59		-10.27
0.022		14   		2708 		-9.804		-1.265
0.022		14   		2705 		-4.037		-0.5208
0.022		14   		2707 		-12.09		-1.559
0.022		14   		2702 		-24.15		-3.115
0.022		14   		2702 		-14.33		-1.849
0.022		14.1 		2699 		-89.36		-11.53
0.022		14.1 		2683 		50.24		6.48 
0.022		14.1 		2710 		40.99		5.287
0.022		14.1 		2692 		-102.7		-13.24
0.022		14.2 		2688 		24.98		3.222
0.022		14.2 		2697 		-11.33		-1.461
0.022		14.2 		2686 		-31.18		-4.022
0.022		14.2 		2690 		6.212		0.8014
0.022		14.2 		2687 		-39.48		-5.092
0.022		14.3 		2682 		-17.44		-2.249
0.022		14.3 		2683 		-20.74		-2.675
0.022		14.3 		2677 		-11.21		-1.445
0.022		14.3 		2681 		6.153		0.7937
0.022		14.4 		2679 		-89.52		-11.55
0.023		14.4 		2662 		-94.84		-12.23
0.023		14.4 		2658 		96.62		12.46
0.022		14.4 		2683 		150.1		19.37
0.022		14.4 		2690 		-187 		-24.12
0.023		14.5 		2643 		-104.8		-13.52
0.022		14.5 		2668 		125.9		16.24
0.022		14.5 		2670 		65   		8.385
0.022		14.5 		2682 		-85.59		-11.04
0.023		14.6 		2651 		53.48		6.899
0.022		14.6 		2693 		-107.6		-13.88
0.023		14.6 		2629 		-137.7		-17.76
0.023		14.6 		2663 		170.4		21.98
